DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Xavier Tillman Sr.,1630214,Grizzlies
Isaiah Todd,1630225,
Anthony Tolliver,201229,76ers
Obi Toppin,1630167,Knicks
Juan Toscano-Anderson,1629308,Warriors
Axel Toupane,1626253,Bucks
Karl-Anthony Towns,1626157,Timberwolves
Gary Trent Jr.,1629018,Raptors
P.J. Tucker,200782,Bucks
Rayjon Tucker,1629730,76ers
Myles Turner,1626167,Pacers
Stanley Umude,1630649,
Jonas Valanciunas,202685,Grizzlies
Denzel Valentine,1627756,Bulls
Fred VanVleet,1627832,Raptors
Jarred Vanderbilt,1629020,Timberwolves
Anderson Varejao,2760,
Devin Vassell,1630170,Spurs
Luca Vildoza,1630492,Knicks
Gabe Vincent,1629216,Heat
Noah Vonleh,203943,
Nikola Vucevic,202696,Bulls
Dean Wade,1629731,Cavaliers
Franz Wagner,1630532,
Moritz Wagner,1629021,Magic
Ish Wainright,1630688,
Jabari Walker,1631133,
Kemba Walker,202689,Thunder
MJ Walker,1630640,
Lonnie Walker IV,1629022,Spurs
John Wall,202322,Rockets
Tyrone Wallace,1627820,
Derrick Walton Jr.,1628476,
Brad Wanamaker,202954,Hornets
T.J. Warren,203933,Pacers
P.J. Washington,1629023,Hornets
Duane Washington Jr.,1630613,
TyTy Washington Jr.,1631102,
Yuta Watanabe,1629139,Raptors
Tremont Waters,1629682,Celtics
Lindy Waters III,1630322,
Trendon Watford,1630570,
Paul Watson,1628778,Raptors
Peyton Watson,1631212,
Quinndary Weatherspoon,1629683,Spurs
Blake Wesley,1631104,
Russell Westbrook,201566,Wizards
Isaiah Whaley,1631348,
Coby White,1629632,Bulls
Derrick White,1628401,Spurs
Jack White,1631298,
Hassan Whiteside,202355,Kings
Greg Whittington,204222,
Joe Wieskamp,1630580,
Aaron Wiggins,1630598,
Andrew Wiggins,203952,Warriors
Lindell Wigginton,1629623,
Alondes Williams,1631214,
Brandon Williams,1630314,
